dcateCd,mcateCd,mcateNm,scateCd,scateNm,dcateNm,lcateCd,lcateNm,avgOrderInterval,moreThan1,moreThan2
4103568,2100104,욕실목욕용품,3100635,욕실보수/청소 용품,변기 청소솔/청소용품,1100019,주방/욕실/생활용품,17.5,1224,80
4102721,2100084,생선/건해산물,3100491,해산물/어패류,해물모듬/깐새우살,1100014,신선식품,9.666666666666666,55,3
4100674,2100013,주방가전,3100136,에스프레소 머신,커피 머신,1100002,가전,7.714285714285714,563,22
4102893,2100089,아동신발/잡화,3100520,유아동 수영/스포츠잡화,유아동 수영모자,1100016,유아동 패션,3.5,158,6
239020607,239020000,스포츠 의류,239020600,수영복,슈트,239000000,스포츠패션,2.0,36,2
233100121,233100000,컴퓨터부품/액세서리,233100100,컴퓨터부품/액세서리,타블렛,233000000,디지털/가전,3.6666666666666665,360,9
4100194,2100006,가구/DIY/시공,3100033,옷장/붙박이장,슬라이딩 장롱,1100001,가구/침구/인테리어,1.0,49,3
4101942,2100061,남성 스포츠/아웃도어 의류,3100367,남성 스키/보드복,스키/보드복 하의,1100011,브랜드 의류,6.0,11,2
4103897,2100120,꽃/원예/이벤트용품,3100688,씨앗/모종/묘목,모종,1100020,취미/문구/놀이,42.0,46,6
4101476,2100041,해외-이미용소품/네일케어,3100279,해외-젤네일/매니큐어,매니큐어,1100007,미용,5.0,25,2
4101701,2100051,가방,3100325,캐리어/여행가방,보스턴 가방,1100010,브랜드 신발/잡화,8.0,249,9
4103176,2100094,임산부/출산용품,3100572,임산부 속옷/수유복,임산부용 보정속옷/복대,1100017,유아동/출산/완구,3.0,71,1
244030507,244030000,트랜드,244030500,여성화,펌프스/하이힐,244000000,잡화,18.39924866951894,71547,10679
4100514,2100010,대형가전,3100100,일반 냉장고,LG,1100002,가전,17.849096705632306,4683,804
4101573,2100046,강아지용품,3100301,강아지 배변용품,강아지 기저귀/팬티,1100009,반려동물용품,30.82905982905983,734,125
