,0
912,44.0
913,19.0
914,
915,
916,100.0
917,
918,4.0
919,19.0
920,8.0
921,9.0
922,12.0
923,4.0
924,10.0
925,
926,
927,15.0
928,0.0
929,12.0
930,22.0
931,
932,
933,5.0
934,14.0
935,17.0
936,29.0
937,32.0
938,26.0
939,12.0
940,
941,9.0
942,
943,2.0
944,7.0
945,7.0
946,9.0
947,7.0
948,6.0
949,28.0
950,
951,6.0
952,8.0
953,33.0
954,7.0
955,47.0
956,
957,17.0
958,13.0
959,15.0
960,12.0
961,14.0
962,12.0
963,5.0
964,15.0
965,15.0
966,13.0
967,14.0
968,
969,9.0
970,8.0
971,3.0
972,6.0
973,60.0
974,75.0
975,
976,13.0
977,9.0
978,4.0
979,13.0
980,10.0
981,6.0
982,9.0
983,4.0
984,10.0
985,9.0
986,7.0
987,15.0
988,5.0
989,0.0
990,7.0
991,18.0
992,11.0
993,4.0
994,6.0
995,30.0
996,12.0
997,
998,6.0
999,8.0
1000,11.0
1001,4.0
1002,10.0
1003,7.0
1004,7.0
1005,4.0
1006,
1007,55.0
1008,
1009,
1010,
1011,
1012,24.0
1013,7.0
1014,24.0
1015,33.0
1016,23.0
1017,
1018,6.0
1019,63.0
1020,6.0
1021,13.0
1022,10.0
1023,3.0
1024,21.0
1025,17.0
1026,6.0
1027,6.0
1028,6.0
1029,6.0
1030,28.0
1031,
1032,50.0
1033,19.0
1034,
1035,22.0
1036,7.0
1037,5.0
1038,15.0
1039,13.0
1040,7.0
1041,35.0
1042,0.0
1043,11.0
1044,0.0
1045,13.0
1046,8.0
1047,7.0
1048,7.0
1049,6.0
1050,6.0
1051,
1052,14.0
1053,24.0
1054,7.0
1055,17.0
1056,1.0
1057,25.0
1058,
1059,9.0
1060,11.0
1061,4.0
1062,25.0
1063,
1064,37.0
1065,29.0
1066,29.0
1067,0.0
1068,
1069,30.0
1070,
1071,6.0
1072,20.0
1073,1.0
1074,157.0
1075,
1076,7.0
1077,16.0
1078,19.0
1079,31.0
1080,49.0
1081,16.0
1082,9.0
1083,
1084,0.0
1085,1.0
1086,4.0
1087,17.0
1088,3.0
1089,0.0
1090,13.0
1091,0.0
1092,10.0
1093,3.0
1094,59.0
1095,40.0
1096,13.0
1097,
1098,
1099,27.0
1100,42.0
1101,44.0
1102,
1103,5.0
1104,9.0
1105,8.0
1106,7.0
1107,6.0
1108,10.0
1109,7.0
1110,6.0
1111,5.0
1112,10.0
1113,9.0
1114,5.0
1115,13.0
1116,8.0
1117,9.0
1118,11.0
1119,6.0
1120,7.0
1121,33.0
1122,
1123,24.0
1124,14.0
1125,91.0
1126,
1127,6.0
1128,1.0
1129,2.0
1130,4.0
1131,1.0
1132,8.0
1133,2.0
1134,6.0
1135,1.0
1136,3.0
1137,8.0
1138,7.0
1139,7.0
1140,5.0
1141,5.0
1142,8.0
1143,0.0
1144,3.0
1145,6.0
1146,4.0
1147,6.0
1148,3.0
1149,6.0
1150,6.0
1151,5.0
1152,0.0
1153,4.0
1154,23.0
1155,9.0
1156,
1157,12.0
1158,8.0
1159,
1160,7.0
1161,22.0
1162,18.0
1163,9.0
1164,10.0
1165,23.0
1166,
1167,
1168,62.0
1169,
1170,10.0
1171,10.0
1172,6.0
1173,25.0
1174,26.0
1175,0.0
1176,
1177,
1178,
1179,16.0
1180,
1181,8.0
1182,
1183,10.0
1184,26.0
1185,30.0
1186,5.0
1187,14.0
1188,60.0
1189,10.0
1190,13.0
1191,10.0
1192,14.0
1193,
1194,0.0
1195,31.0
1196,32.0
1197,57.0
1198,47.0
1199,
1200,
1201,11.0
1202,11.0
1203,10.0
1204,92.0
1205,
1206,8.0
1207,61.0
1208,6.0
