,biz_dt,mid,price,prodNo,dcateCd,dcateNm
553,2018-08-07 16:52:06,25413575,516000,102589785,4101182,Playstation
536,2018-08-07 20:22:03,23151703,516000,102589785,4101182,Playstation
542,2018-08-07 20:33:45,17294750,516000,102589785,4101182,Playstation
315,2018-08-07 21:53:32,7132866,363000,102052939,4101182,Playstation
614,2018-08-07 22:36:51,5620597,516000,101575773,4101182,Playstation
312,2018-08-07 22:56:37,21869692,363000,102052939,4101182,Playstation
540,2018-08-07 23:00:16,6313579,516000,102589785,4101182,Playstation
544,2018-08-07 23:31:14,15371258,516000,102589785,4101182,Playstation
321,2018-08-07 23:59:31,1656740,363000,102052939,4101182,Playstation
538,2018-08-08 07:54:46,12362250,516000,102589785,4101182,Playstation
456,2018-08-08 10:26:19,4430233,402000,102038755,4101182,Playstation
507,2018-08-08 11:04:10,25403884,516000,102589785,4101182,Playstation
513,2018-08-08 11:05:42,25403884,516000,102589785,4101182,Playstation
825,2018-08-08 11:07:36,1418750,404000,102590529,4101182,Playstation
508,2018-08-08 11:09:37,25405997,516000,102589785,4101182,Playstation
517,2018-08-08 11:11:09,25405997,516000,102589785,4101182,Playstation
514,2018-08-08 11:14:53,25406084,516000,102589785,4101182,Playstation
518,2018-08-08 11:15:30,5444772,516000,102589785,4101182,Playstation
515,2018-08-08 11:16:06,25406084,516000,102589785,4101182,Playstation
519,2018-08-08 11:19:58,25411881,516000,102589785,4101182,Playstation
520,2018-08-08 11:21:02,25411881,516000,102589785,4101182,Playstation
550,2018-08-08 11:24:42,25413575,516000,102589785,4101182,Playstation
551,2018-08-08 11:25:42,25413575,516000,102589785,4101182,Playstation
521,2018-08-08 11:29:54,25411837,516000,102589785,4101182,Playstation
522,2018-08-08 11:30:46,25411837,516000,102589785,4101182,Playstation
523,2018-08-08 11:38:11,3057437,516000,102589785,4101182,Playstation
560,2018-08-08 11:57:08,2749870,516000,102589785,4101182,Playstation
461,2018-08-08 12:38:07,13418583,402000,102038755,4101182,Playstation
827,2018-08-08 13:17:27,3405164,404000,102590529,4101182,Playstation
558,2018-08-08 17:11:26,16642355,516000,102589785,4101182,Playstation
230,2018-08-08 20:07:18,4276673,515000,102042687,4101182,Playstation
316,2018-08-08 20:34:05,2292148,363000,102052939,4101182,Playstation
821,2018-08-08 20:36:50,5469099,404000,102590529,4101182,Playstation
626,2018-08-08 20:55:01,23468759,516000,101575773,4101182,Playstation
828,2018-08-08 21:09:07,3001531,404000,102590529,4101182,Playstation
327,2018-08-08 21:31:35,2154852,363000,102052939,4101182,Playstation
320,2018-08-08 22:41:33,25457987,363000,102052939,4101182,Playstation
531,2018-08-08 22:45:09,21207591,516000,102589785,4101182,Playstation
546,2018-08-09 06:16:12,1842284,516000,102589785,4101182,Playstation
539,2018-08-09 10:42:43,3363213,516000,102589785,4101182,Playstation
609,2018-08-09 11:00:16,3319186,516000,101575773,4101182,Playstation
516,2018-08-09 11:51:26,4389198,516000,102589785,4101182,Playstation
311,2018-08-09 12:23:47,21207591,363000,102052939,4101182,Playstation
524,2018-08-09 13:43:49,25463006,516000,102589785,4101182,Playstation
286,2018-08-09 14:21:52,5749988,515000,102042687,4101182,Playstation
206,2018-08-09 14:26:46,25439314,515000,102042687,4101182,Playstation
287,2018-08-09 14:41:22,18449407,515000,102042687,4101182,Playstation
775,2018-08-09 15:04:07,11563701,398000,101173552,4101182,Playstation
391,2018-08-09 15:14:38,25463713,542000,101647068,4101182,Playstation
394,2018-08-09 15:55:48,3548614,542000,101647068,4101182,Playstation
385,2018-08-09 18:04:13,11901063,542000,101647068,4101182,Playstation
324,2018-08-09 18:24:06,7056690,363000,102052939,4101182,Playstation
231,2018-08-09 20:08:25,5749988,515000,102042687,4101182,Playstation
244,2018-08-09 20:09:48,5417048,515000,102042687,4101182,Playstation
451,2018-08-09 20:31:28,1942878,402000,102038755,4101182,Playstation
387,2018-08-09 20:41:14,22009411,542000,101647068,4101182,Playstation
232,2018-08-09 21:58:09,5417048,515000,102042687,4101182,Playstation
548,2018-08-09 22:32:28,1676353,516000,102589785,4101182,Playstation
627,2018-08-09 22:33:59,18449407,516000,101575773,4101182,Playstation
829,2018-08-09 23:01:38,7017101,404000,102590529,4101182,Playstation
835,2018-08-10 09:40:22,21207591,363000,101576275,4101182,Playstation
643,2018-08-10 12:42:04,22764442,516000,101575773,4101182,Playstation
390,2018-08-10 12:43:22,20766669,542000,101647068,4101182,Playstation
621,2018-08-10 14:20:06,11674269,516000,101575773,4101182,Playstation
381,2018-08-10 18:34:13,24946059,542000,101647068,4101182,Playstation
778,2018-08-10 20:27:13,25473822,398000,101173552,4101182,Playstation
629,2018-08-10 20:35:52,16093145,516000,101575773,4101182,Playstation
377,2018-08-10 20:53:50,18356268,542000,101647068,4101182,Playstation
378,2018-08-10 21:19:49,2558260,542000,101647068,4101182,Playstation
839,2018-08-11 09:26:27,10461090,363000,101576275,4101182,Playstation
179,2018-08-11 09:51:00,5316263,516000,104381530,4101182,Playstation
405,2018-08-11 15:46:41,18900791,542000,101647068,4101182,Playstation
401,2018-08-11 16:12:58,7703767,542000,101647068,4101182,Playstation
784,2018-08-11 16:34:55,8170098,398000,101173552,4101182,Playstation
838,2018-08-11 17:11:32,1495685,363000,101576275,4101182,Playstation
826,2018-08-11 20:44:41,7193870,404000,102590529,4101182,Playstation
836,2018-08-11 21:09:38,4198309,363000,101576275,4101182,Playstation
837,2018-08-11 21:34:48,7933881,363000,101576275,4101182,Playstation
61,2018-08-11 21:34:48,7933881,515000,101547193,4101182,Playstation
395,2018-08-11 21:57:44,15295445,542000,101647068,4101182,Playstation
386,2018-08-12 00:55:57,9980522,542000,101647068,4101182,Playstation
832,2018-08-12 04:36:45,10685829,404000,102590529,4101182,Playstation
765,2018-08-12 17:05:43,4980440,363000,104382645,4101182,Playstation
644,2018-08-12 22:01:43,15367958,516000,101575773,4101182,Playstation
402,2018-08-12 22:05:53,17708930,542000,101647068,4101182,Playstation
396,2018-08-12 23:30:26,7234163,542000,101647068,4101182,Playstation
608,2018-08-13 08:40:45,10515194,516000,101575773,4101182,Playstation
630,2018-08-13 09:27:45,12403662,516000,101575773,4101182,Playstation
398,2018-08-13 09:52:09,10084190,542000,101647068,4101182,Playstation
638,2018-08-13 13:47:48,1232702,516000,101575773,4101182,Playstation
403,2018-08-13 17:36:27,25492455,542000,101647068,4101182,Playstation
610,2018-08-13 19:07:48,7284196,516000,101575773,4101182,Playstation
612,2018-08-14 00:37:28,5174587,516000,101575773,4101182,Playstation
379,2018-08-14 01:42:32,1521149,542000,101647068,4101182,Playstation
392,2018-08-14 10:02:27,18484533,542000,101647068,4101182,Playstation
397,2018-08-14 10:37:29,21929667,542000,101647068,4101182,Playstation
823,2018-08-14 13:04:54,24570750,404000,102590529,4101182,Playstation
611,2018-08-14 15:22:15,14362453,516000,101575773,4101182,Playstation
404,2018-08-14 15:59:22,11938919,542000,101647068,4101182,Playstation
824,2018-08-14 23:40:46,21780349,404000,102590529,4101182,Playstation
399,2018-08-15 06:02:19,22773823,542000,101647068,4101182,Playstation
388,2018-08-15 10:02:57,3137376,542000,101647068,4101182,Playstation
382,2018-08-15 11:57:10,10507904,542000,101647068,4101182,Playstation
647,2018-08-15 12:46:32,2461168,516000,101575773,4101182,Playstation
605,2018-08-15 13:40:48,1064570,516000,101575773,4101182,Playstation
779,2018-08-15 17:05:24,20661343,398000,101173552,4101182,Playstation
635,2018-08-15 21:37:02,2128835,516000,101575773,4101182,Playstation
622,2018-08-15 23:53:31,2599451,516000,101575773,4101182,Playstation
613,2018-08-16 00:06:52,1068365,516000,101575773,4101182,Playstation
848,2018-08-16 05:38:55,5711943,363000,101576275,4101182,Playstation
406,2018-08-16 11:56:45,1283606,542000,101647068,4101182,Playstation
383,2018-08-16 12:19:20,19099429,542000,101647068,4101182,Playstation
628,2018-08-16 12:52:43,2380896,516000,101575773,4101182,Playstation
384,2018-08-16 13:52:39,11938919,542000,101647068,4101182,Playstation
