,time
1445,13.0
1446,9.0
1447,12.0
1450,12.0
1451,11.0
1452,7.0
1453,5.0
1454,4.0
1455,4.0
1456,12.0
1457,17.0
1458,18.0
1460,156.0
1464,98.0
1465,28.0
1466,27.0
1468,89.0
1469,65.0
1470,56.0
1472,164.0
1473,35.0
1475,60.0
1476,84.0
1479,19.0
1482,37.0
1485,73.0
1486,34.0
1487,18.0
1488,23.0
1489,15.0
1490,26.0
1491,11.0
1494,27.0
1495,28.0
1496,9.0
1497,89.0
1499,13.0
1502,30.0
1503,91.0
1504,41.0
1505,4.0
1507,20.0
1508,46.0
1509,58.0
1511,168.0
1513,49.0
1514,82.0
1517,82.0
1520,56.0
1521,19.0
1522,15.0
1523,26.0
1524,8.0
1525,26.0
1526,28.0
1528,17.0
1530,44.0
1531,39.0
1532,15.0
1533,26.0
1534,30.0
1535,16.0
1536,16.0
1538,39.0
1539,53.0
1540,20.0
1542,36.0
1543,28.0
1544,16.0
1545,10.0
1550,60.0
1551,146.0
1553,145.0
1555,145.0
1556,29.0
1558,23.0
1560,140.0
1562,14.0
1564,14.0
1565,7.0
1566,27.0
1567,5.0
1569,37.0
1570,20.0
1571,18.0
1572,7.0
1573,16.0
1574,29.0
1575,18.0
1577,87.0
1578,7.0
1579,45.0
1580,27.0
1581,2.0
1583,7.0
1584,87.0
1585,105.0
1587,26.0
1588,16.0
1589,41.0
1590,23.0
1592,18.0
1593,9.0
1594,10.0
1595,23.0
1596,11.0
1597,1.0
1599,106.0
1600,16.0
1601,49.0
1604,40.0
1605,10.0
1606,12.0
1609,26.0
1610,1.0
1611,1.0
1613,5.0
1614,40.0
1616,14.0
1618,12.0
1620,7.0
1621,25.0
1622,51.0
1623,70.0
1626,19.0
1627,55.0
1628,20.0
1629,18.0
1631,16.0
1632,5.0
1633,32.0
1634,27.0
1635,2.0
1636,10.0
1638,80.0
1641,37.0
1642,19.0
1643,84.0
1644,14.0
1645,35.0
1648,60.0
1650,49.0
1651,28.0
1652,22.0
1653,38.0
1655,66.0
1657,23.0
1658,3.0
1659,30.0
1660,93.0
1661,16.0
