,biz_dt,mid,price,prodNo,dcateCd,dcateNm
696,2018-08-13 00:06:12,1866450,391000,100516019,4104294,이외 브랜드
728,2018-08-13 00:55:45,8398581,139000,100822031,4104294,이외 브랜드
745,2018-08-13 07:18:46,1181649,189000,100227960,4104294,이외 브랜드
466,2018-08-13 08:22:43,7553579,122000,101352680,4104294,이외 브랜드
584,2018-08-13 09:12:25,25488918,309000,100101298,4104294,이외 브랜드
682,2018-08-13 10:25:17,12583293,409000,100351374,4104294,이외 브랜드
345,2018-08-13 10:51:43,2171011,219000,100228871,4104294,이외 브랜드
367,2018-08-13 11:07:14,4897388,359000,100230823,4104294,이외 브랜드
159,2018-08-13 11:29:47,11152035,99000,102361762,4104294,이외 브랜드
427,2018-08-13 11:36:51,5406953,134900,100043331,4104294,이외 브랜드
349,2018-08-13 13:54:45,25489594,159000,101750673,4104294,이외 브랜드
182,2018-08-13 14:11:05,12262156,155900,100043321,4104294,이외 브랜드
684,2018-08-13 14:56:37,22286797,409000,100351374,4104294,이외 브랜드
106,2018-08-13 15:59:29,12108634,99000,102361762,4104294,이외 브랜드
184,2018-08-13 16:21:21,5115590,155900,100043321,4104294,이외 브랜드
676,2018-08-13 16:31:41,16912069,409000,100351374,4104294,이외 브랜드
168,2018-08-13 16:49:25,1033964,209000,100639808,4104294,이외 브랜드
125,2018-08-13 18:05:10,21619169,99000,102361762,4104294,이외 브랜드
794,2018-08-13 20:13:07,21125972,249000,100327254,4104294,이외 브랜드
84,2018-08-13 20:33:11,6360881,99000,102361762,4104294,이외 브랜드
95,2018-08-13 21:11:01,6360881,99000,102361762,4104294,이외 브랜드
149,2018-08-13 21:38:51,25494291,99000,102361762,4104294,이외 브랜드
107,2018-08-13 22:22:30,9312459,99000,102361762,4104294,이외 브랜드
692,2018-08-13 23:08:22,18160595,114000,100077174,4104294,이외 브랜드
108,2018-08-13 23:55:18,25028805,99000,102361762,4104294,이외 브랜드
365,2018-08-14 09:25:58,16775652,359000,100230823,4104294,이외 브랜드
674,2018-08-14 10:29:31,1602628,409000,100351374,4104294,이외 브랜드
738,2018-08-14 12:04:53,9367536,189000,100227960,4104294,이외 브랜드
739,2018-08-14 12:08:53,9367536,189000,100227960,4104294,이외 브랜드
428,2018-08-14 12:41:08,13059582,134900,100043331,4104294,이외 브랜드
341,2018-08-14 13:42:04,25252192,79000,100189893,4104294,이외 브랜드
164,2018-08-14 13:48:49,17705880,87000,100189904,4104294,이외 브랜드
569,2018-08-14 17:47:17,9571925,149000,100043283,4104294,이외 브랜드
565,2018-08-14 18:54:25,25472643,213000,100566795,4104294,이외 브랜드
574,2018-08-14 19:11:52,21539361,142900,100043311,4104294,이외 브랜드
725,2018-08-15 00:20:23,2317502,139000,100822031,4104294,이외 브랜드
697,2018-08-15 01:13:53,24611397,189000,101633064,4104294,이외 브랜드
659,2018-08-15 09:21:14,11126303,269000,100480882,4104294,이외 브랜드
363,2018-08-15 11:53:53,5166138,359000,100230823,4104294,이외 브랜드
802,2018-08-15 16:54:07,20300829,269000,100877628,4104294,이외 브랜드
5,2018-08-15 18:52:48,9404734,259000,100445176,4104294,이외 브랜드
702,2018-08-15 22:04:42,22398659,189000,101633064,4104294,이외 브랜드
597,2018-08-15 22:48:25,12419221,239000,100445247,4104294,이외 브랜드
16,2018-08-16 00:29:54,15200804,124000,100227591,4104294,이외 브랜드
300,2018-08-16 01:27:27,5974743,239000,100538763,4104294,이외 브랜드
6,2018-08-16 04:17:31,5974743,259000,100445176,4104294,이외 브랜드
694,2018-08-16 08:33:30,24762180,539000,100231519,4104294,이외 브랜드
3,2018-08-16 10:06:10,17082410,259000,100445176,4104294,이외 브랜드
55,2018-08-16 10:09:55,25511256,279000,100822610,4104294,이외 브랜드
801,2018-08-16 11:05:20,2880260,359000,100274666,4104294,이외 브랜드
812,2018-08-16 11:51:50,20362573,230000,101354210,4104294,이외 브랜드
578,2018-08-16 12:26:42,1808032,142900,100043311,4104294,이외 브랜드
570,2018-08-16 13:44:49,3824115,149000,100043283,4104294,이외 브랜드
