,mid,dcateCd,scateCd,mcateCd,lcateCd,userOrderCnt,userFirstLastOrderPeriod,orderMeanPeriod,userRecentlyOrderPeriod,alpha,beta,lambda,prob,rcp,score
0,12088649,232070603,232070600,232070000,232000000,2,3,3.0,3,Infinity,Infinity,,,0.01904761904761905,
1,12105314,4104420,3100789,2100140,1100022,2,1,1.0,1,Infinity,Infinity,,,0.15789473684210525,
2,12125932,4102907,3100522,2100089,1100016,2,2,2.0,2,Infinity,Infinity,,,0.05,
3,12136147,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
4,12137203,4105614,3100998,2100029,1100005,2,23,23.0,23,Infinity,Infinity,,,0.2,
0,12137784,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
1,12189492,4101090,3100205,2100026,1100005,2,6,6.0,6,Infinity,Infinity,,,0.030303030303030307,
2,1223771,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
3,1223855,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
4,12263632,4104358,3100774,2100138,1100022,3,1,1.0,1,Infinity,Infinity,,,,
0,1234144,4103792,3100670,2100186,1100017,2,11,11.0,11,Infinity,Infinity,,,0.06077348066298342,
1,12355926,4104683,3100836,2100151,1100024,2,1,1.0,1,Infinity,Infinity,,,0.05275229357798165,
2,12390628,4100451,3100083,2100009,1100002,4,13,13.0,13,Infinity,Infinity,,,0.04923076923076923,
3,12402572,4105837,3101081,2100208,1100015,3,6,6.0,6,Infinity,Infinity,,,0.2,
0,1242700,4105738,3101052,2100201,1100034,6,1,1.0,1,Infinity,Infinity,,,,
1,12432333,4103970,3100700,2100121,1100020,2,8,8.0,8,Infinity,Infinity,,,0.030927835051546393,
2,12435842,232010206,232010200,232010000,232000000,2,1,1.0,1,Infinity,Infinity,,,0.07526881720430108,
3,12436921,4104596,3100821,2100148,1100023,2,1,1.0,1,Infinity,Infinity,,,0.07272727272727272,
4,12440829,4102457,3100452,2100077,1100013,2,22,22.0,22,Infinity,Infinity,,,0.05617977528089888,
0,12469400,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
1,1247716,4101100,3100207,2100026,1100005,2,26,26.0,26,Infinity,Infinity,,,0.07936507936507936,
2,12494019,232063802,232063800,232060000,232000000,2,7,7.0,7,Infinity,Infinity,,,0.07397260273972603,
3,12507249,4101844,3100351,2100058,1100010,2,1,1.0,1,Infinity,Infinity,,,0.06818181818181818,
4,12508332,4102818,3100505,2100085,1100014,2,1,1.0,1,Infinity,Infinity,,,0.045454545454545456,
0,1258330,4104818,3100856,2100154,1100024,4,2,2.0,2,Infinity,Infinity,,,0.026785714285714284,
1,12586688,4101695,3100324,2100051,1100010,3,1,1.0,1,Infinity,Infinity,,,0.04,
2,1258842,4104025,3100709,2100121,1100020,2,2,2.0,2,Infinity,Infinity,,,0.042857142857142864,
3,12602765,232071406,232071400,232070000,232000000,2,1,1.0,1,Infinity,Infinity,,,0.15492957746478872,
0,1262269,4105738,3101052,2100201,1100034,5,1,1.0,1,Infinity,Infinity,,,,
1,12652390,4105678,3100709,2100121,1100020,3,4,4.0,4,Infinity,Infinity,,,0.11904761904761905,
2,12692470,4102069,3100386,2100064,1100011,2,1,1.0,1,Infinity,Infinity,,,0.25,
3,12715213,4105191,3100916,2100174,1100027,2,4,4.0,4,Infinity,Infinity,,,0.03225806451612903,
4,1271664,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
0,12725959,4101812,3100346,2100057,1100010,4,5,5.0,5,Infinity,Infinity,,,0.15384615384615385,
1,12794800,4102997,3100536,2100090,1100016,2,1,1.0,1,Infinity,Infinity,,,0.04608294930875576,
2,12801846,4103835,3100678,2100115,1100017,2,10,10.0,10,Infinity,Infinity,,,0.05882352941176471,
3,12831485,4105200,3100215,2100028,1100005,4,3,3.0,3,Infinity,Infinity,,,0.3086734693877551,
4,12854988,4104879,3100862,2100154,1100024,2,4,4.0,4,Infinity,Infinity,,,0.08333333333333333,
0,12858370,4101534,3100292,2100044,1100008,2,3,3.0,3,Infinity,Infinity,,,0.07575757575757576,
1,1286457,4105738,3101052,2100201,1100034,2,1,1.0,1,Infinity,Infinity,,,,
2,12869804,4103402,3100611,2100098,1100018,2,6,6.0,6,Infinity,Infinity,,,0.07547169811320754,
3,12884807,4105208,3100922,2100177,1100017,2,1,1.0,1,Infinity,Infinity,,,0.0970873786407767,
4,12886726,4100271,3100047,2100008,1100001,2,12,12.0,12,Infinity,Infinity,,,0.02099737532808399,
0,12921880,4104998,3100882,2100162,1100026,2,1,1.0,1,Infinity,Infinity,,,0.046875,
1,12922111,4101105,3100209,2100028,1100005,2,35,35.0,35,Infinity,Infinity,,,0.15384615384615385,
