,index,dcateCd,rcp_diff,rcp_x,rcp_y,totalOrderUserCnt_x,totalOrderUserCnt_y
264,499,233060122,0.018134535790964995,0.07688410763775001,0.09501864342871501,33557.0,71607
265,141,232050202,0.017848500623536004,0.072299844754934,0.09014834537847001,4509.0,5258
266,1036,238070306,0.017701796022430993,0.123184627988381,0.140886424010812,13427.0,21457
267,41,231030305,0.017664521111343007,0.089504373177842,0.10716889428918501,3430.0,4115
268,896,237060202,0.017645557851573984,0.20116701167011602,0.21881256952169,66666.0,71920
269,998,238050401,0.017529994852368003,0.146705020920502,0.16423501577287,3824.0,5072
270,895,237060201,0.017396118529537985,0.15907145913564402,0.176467577665182,18696.0,19539
271,1356,242030106,0.017364335757801996,0.048826646479939007,0.066190982237741,5284.0,6587
272,1272,240040104,0.017262008420115993,0.32203290647888905,0.33929491489900504,102533.0,114511
273,459,233040124,0.017206014139202,0.016528925619834,0.033734939759036,121.0,2905
274,784,237010405,0.017201991475256,0.074876383329408,0.092078374804664,4247.0,8319
275,858,237040405,0.017158388178592998,0.108914390743926,0.126072778922519,42437.0,49987
276,5,231010301,0.017123676960998008,0.082209656372335,0.09933333333333301,2299.0,3000
277,1428,244010101,0.017072390772328,0.047347404449515004,0.064419795221843,1753.0,14064
278,1106,239020505,0.017072274703853002,0.085847953216374,0.10292022792022701,4275.0,5616
279,1283,241010102,0.016966038913155956,0.5587751359083151,0.575741174821471,227911.0,256822
280,197,232060601,0.016949152542372,0.0,0.016949152542372,22.0,59
281,1189,239030704,0.016748048084073992,0.058798911906256,0.07554695999033,4779.0,8273
282,1279,240040404,0.016688246293723008,0.27825736888679503,0.29494561518051804,263303.0,287948
283,640,234010305,0.016489541606378985,0.11665145125998001,0.133140992866359,69009.0,82146
284,814,237020703,0.016462589360050003,0.09086597742578001,0.10732856678583001,10543.0,12308
285,943,238020109,0.01641335408439501,0.143076205080338,0.159489559164733,29998.0,43100
286,1353,242030103,0.016356192202988007,0.079722458227131,0.09607865043011901,7062.0,8951
287,1032,238070302,0.016316945794875,0.10708947949834201,0.123406425293217,15389.0,17649
288,1287,241010106,0.01622309004908601,0.079300291545189,0.09552338159427501,5145.0,6009
289,773,237010107,0.016218519295751008,0.077661431064572,0.09387995036032301,18336.0,45931
290,1465,244010902,0.016206087999711995,0.049351190786388006,0.0655572787861,19189.0,23857
291,635,234010202,0.016144106193793,0.080130014208139,0.096274120401932,51379.0,67474
292,623,233120305,0.01603056005335801,0.250496709505798,0.266527269559156,302994.0,344340
293,408,233020125,0.015996271144647002,0.044404973357015,0.060401244501662,563.0,9321
294,1212,240010403,0.015970051111209027,0.394763748157863,0.41073379926907205,567276.0,605806
295,1388,243010203,0.01593290308367601,0.27123860050625803,0.28717150358993404,115356.0,129111
296,604,233110401,0.015891629688118997,0.08779692594317601,0.103688555631295,4294.0,13203
297,1230,240020202,0.015871642230327998,0.10915757020248301,0.125029212432811,12001.0,25674
298,922,238010101,0.015859290025208,0.121433796634967,0.137293086660175,1367.0,2054
299,182,232060202,0.015763256210264,0.004784688995215,0.020547945205479,209.0,438
300,1397,243020102,0.015727268110550974,0.13566007928123502,0.151387347391786,103177.0,112625
301,949,238020115,0.015724776500639,0.053240740740740006,0.068965517241379,432.0,638
302,617,233120202,0.015717094191081,0.103887207590381,0.119604301781462,97808.0,121810
303,1013,238060505,0.015523777435697009,0.071955719557195,0.08747949699289201,1626.0,1829
304,559,233090402,0.015467731626572001,0.072411296162201,0.087879027788773,23477.0,37893
305,490,233060113,0.01544929839999401,0.097351790550707,0.11280108895070101,13292.0,16897
306,865,237040506,0.015379877339840003,0.10814461943190301,0.12352449677174301,56258.0,65825
307,549,233090305,0.015303735281121,0.008064516129032001,0.023368251410153,248.0,1241
308,997,238050307,0.015296501005542001,0.22801965102490201,0.24331615203044402,11806.0,20759
309,633,234010105,0.015151619794311011,0.18534482758620602,0.20049644738051703,139432.0,152282
310,985,238050202,0.015097311383764994,0.09200197726149201,0.107099288645257,50575.0,63119
311,854,237040401,0.015082258102769003,0.147220046985121,0.16230230508789,98329.0,107805
312,993,238050303,0.015020288587497016,0.116255733944954,0.13127602253245102,6976.0,8166
313,45,231040101,0.014909756389987983,0.35831968397726105,0.37322944036724903,31137.0,33111
314,643,234010402,0.014846664385451014,0.119459158070811,0.13430582245626202,129132.0,160276
315,799,237020401,0.014746706535157,0.082858445406883,0.09760515194204,17548.0,19876
316,590,233100121,0.014686129505704998,0.039819684447783006,0.054505813953488004,1331.0,4128
317,1000,238060101,0.014683329574179005,0.074892572130141,0.08957590170432,1629.0,2523
318,802,237020404,0.014552077936758001,0.11766071014156401,0.132212788078322,4309.0,5771
319,583,233100113,0.014399571599318997,0.07339988256018701,0.087799454159506,30654.0,49465
320,1168,239030302,0.014299089231561,0.053403755868544005,0.067702845100105,3408.0,3796
321,415,233020132,0.014286305212660014,0.065707877028631,0.07999418224129101,7579.0,27502
322,806,237020502,0.014266807041381002,0.05922885207447501,0.07349565911585601,13642.0,20042
323,50,231040201,0.01418305099044101,0.185514834205933,0.19969788519637402,5730.0,6620
324,445,233040108,0.014089991514621009,0.131147540983606,0.14523753249822702,1586.0,8462
325,910,237060501,0.014023778251842978,0.13324647291607902,0.147270251167922,102847.0,116018
326,444,233040107,0.013952470886778007,0.053180396246089,0.06713286713286701,959.0,2145
327,904,237060210,0.01390167285600799,0.12718257413517,0.141084246991178,51831.0,56002
328,498,233060121,0.013839034767703998,0.068497250383449,0.082336285151153,26731.0,36023
329,87,231060502,0.013762018120328984,0.18283777786743002,0.196599795987759,24787.0,29410
330,856,237040403,0.013682137503429004,0.100712012637651,0.11439415014108001,43679.0,50326
331,1022,238070106,0.013657996562809,0.177690198766278,0.191348195329087,5836.0,7536
332,1462,244010805,0.013582673433177997,0.106776749598271,0.120359423031449,18047.0,25374
333,1152,239021205,0.013582631765172992,0.16239924134660902,0.175981873111782,4218.0,5296
334,842,237040102,0.013541996597873002,0.15892898184325402,0.17247097844112702,60914.0,65124
335,1327,241030402,0.01346488079104699,0.12351682944547501,0.136981710236522,49556.0,62658
336,851,237040306,0.013353035150225984,0.15904274692890902,0.172395782079135,120804.0,132103
337,1316,241030207,0.013296016437510993,0.29699551956560905,0.31029153600312004,127443.0,133294
338,989,238050207,0.013143382771218015,0.129426557885194,0.14256994065641201,68394.0,82570
339,1307,241030102,0.013096464657637003,0.11061658061836001,0.12371304527599701,16851.0,24185
340,973,238040201,0.013067845889262006,0.08840619811842801,0.10147404400769001,7228.0,14043
341,1292,241010203,0.013046898665920958,0.36536846525299105,0.378415363918912,38104.0,43114
342,869,237050201,0.012983654321166993,0.10134331104704601,0.114326965368213,81515.0,104586
343,477,233050115,0.012820298667023,0.16285537700865202,0.17567567567567502,3236.0,4662
344,908,237060403,0.012796342385998971,0.29716980267270904,0.309966145058708,545439.0,581599
345,874,237050304,0.012526123301985999,0.056439393939393005,0.068965517241379,5280.0,6264
346,876,237050402,0.012464234018859016,0.137596464465183,0.15006069848404202,89152.0,99673
347,824,237030104,0.012381873501124005,0.051187068530055,0.06356894203117901,5939.0,6607
348,516,233080105,0.012313271483607002,0.041071428571428,0.053384700055035005,2240.0,3634
349,605,233110402,0.01230184192545701,0.12220058422590001,0.13450242615135702,6162.0,11747
350,387,233020104,0.012244703993860004,0.11952239165087601,0.13176709564473602,33249.0,74829
351,382,233010502,0.012191761164162998,0.10156537979505001,0.11375714095921301,40693.0,60216
352,18,231010605,0.012136192416317998,0.139185160649221,0.151321353065539,15095.0,18920
353,1042,238070312,0.012131611835278,0.109023846285812,0.12115545812109,11658.0,15509
354,1040,238070310,0.011772624320687,0.101005047978534,0.112777672299221,21989.0,26335
355,1005,238060203,0.011738666184495011,0.13895979578813,0.15069846197262501,6268.0,7087
356,431,233030206,0.011735510700859993,0.061143984220907006,0.072879494921767,10140.0,14572
357,585,233100115,0.011542916378942003,0.053857056084227,0.065399972463169,4939.0,7263
358,1035,238070305,0.011489808348053007,0.094309934225447,0.10579974257350001,70544.0,78469
359,615,233120101,0.01147751338841499,0.08747105737072201,0.098948570759137,124384.0,136576
360,458,233040123,0.011389454427429002,0.024475524475524,0.035864978902953,286.0,474
361,456,233040121,0.011304217313521006,0.11346929096514101,0.12477350827866202,8434.0,32010
362,377,233010301,0.01127727064536,0.034315127251930005,0.045592397897290006,17485.0,39568
